fecha,empresa,localidad,provincia,insumo,cupo_total_asignado_m3,produccion__m3,ventas_totales__m3,ventas_a_axion_m3,ventas_a_petrobras_m3,ventas_a_fox_petrol_m3,ventas_a_refineria_del_norte_m3,ventas_a_shell_m3,ventas_a_ypf_m3,ventas_a_energia_derivada_del_petroleo_m3,ventas_a_oil_combustibles_m3,ventas_a_trafigura_oil_m3
5/1/2012,ENERGÍAS ECOLOGICAS DEL TUCUMÁN S.A.,AGUILARES,TUCUMÁN,CAÑA DE AZÚCAR,2090,2063.171194,2008.843967,1197.72,0,0,0,590.02,0,0,221.1,0
5/1/2012,RÍO GRANDE ENERGÍA S.A.,LA MENDIETA,JUJUY,CAÑA DE AZÚCAR,800,0,778.1680354,0,0,0,0,293.37,484.8,0,0,0
6/1/2012,ALCONOA S.R.L.,EL TABACAL,SALTA,CAÑA DE AZÚCAR,4250,6013.000632,3732.002527,225,0,0,0,1835,1672,0,0,0
6/1/2012,BIO SAN ISIDRO S.A.,CAMPO SANTO,SALTA,CAÑA DE AZÚCAR,300,0,76.68982944,0,0,0,0,0,76.69,0,0,0
6/1/2012,BIOENERGÍA LA CORONA S.A.,CONCEPCIÓN,TUCUMÁN,CAÑA DE AZÚCAR,670,1300,1137.662666,0,0,0,0,0,1138,0,0,0
6/1/2012,BIOENERGÍA SANTA ROSA S.A.,LEÓN ROUGES,TUCUMÁN,CAÑA DE AZÚCAR,1000,2281.212887,1013.834491,678.67,335.16,0,0,0,0,0,0,0
6/1/2012,BIOLEDESMA S.A.,LEDESMA,JUJUY,CAÑA DE AZÚCAR,4083,2541.402401,3594.125079,623.06,0,0,0,765.06,1801.55,71.84,332.62,0
6/1/2012,BIOTRINIDAD S.A.,VILLA LA TRINIDAD,TUCUMÁN,CAÑA DE AZÚCAR,1400,3384.005054,1497.144662,0,0,0,0,0,1497.14,0,0,0
6/1/2012,COMPAÑÍA BIONERGÉTICA LA FLORIDA S.A.,LA FLORIDA,TUCUMÁN,CAÑA DE AZÚCAR,5000,4545.104232,3495.173721,0,37.67,0,651.37,0,2362.36,0,443.78,0
6/1/2012,ENERGÍAS ECOLOGICAS DEL TUCUMÁN S.A.,AGUILARES,TUCUMÁN,CAÑA DE AZÚCAR,2090,2101.07391,2002.526848,1187.62,0,0,0,481.36,0,0,333.54,0
6/1/2012,RÍO GRANDE ENERGÍA S.A.,LA MENDIETA,JUJUY,CAÑA DE AZÚCAR,1000,228.8566014,848.3891346,0,0,0,0,442.96,405.43,0,0,0
7/1/2012,ALCONOA S.R.L.,EL TABACAL,SALTA,CAÑA DE AZÚCAR,4250,6973.998737,4398.00379,379,0,0,0,2268,1751,0,0,0
7/1/2012,BIO SAN ISIDRO S.A.,CAMPO SANTO,SALTA,CAÑA DE AZÚCAR,500,554.5925458,262.2488945,0,0,0,0,0,262.25,0,0,0
7/1/2012,BIOENERGÍA LA CORONA S.A.,CONCEPCIÓN,TUCUMÁN,CAÑA DE AZÚCAR,670,1506.607707,673.4049274,0,0,0,0,0,673.41,0,0,0
7/1/2012,BIOENERGÍA SANTA ROSA S.A.,LEÓN ROUGES,TUCUMÁN,CAÑA DE AZÚCAR,1000,2687.997473,1156.310802,529.73,626.58,0,0,0,0,0,0,0
7/1/2012,BIOLEDESMA S.A.,LEDESMA,JUJUY,CAÑA DE AZÚCAR,4083,4174.428301,4002.956412,622.51,0,0,0,839.56,2056.23,0,484.66,0
7/1/2012,BIOTRINIDAD S.A.,VILLA LA TRINIDAD,TUCUMÁN,CAÑA DE AZÚCAR,1516,4447.454201,1502.438408,0,0,0,0,0,1502.44,0,0,0
7/1/2012,COMPAÑÍA BIONERGÉTICA LA FLORIDA S.A.,LA FLORIDA,TUCUMÁN,CAÑA DE AZÚCAR,5000,4440.151611,4259.823121,0,436.52,0,586,0,2760.38,0,476.93,0
7/1/2012,ENERGÍAS ECOLOGICAS DEL TUCUMÁN S.A.,AGUILARES,TUCUMÁN,CAÑA DE AZÚCAR,2090,2219.835755,1892.60897,1086.54,0,0,0,548.32,0,0,257.74,0
7/1/2012,RÍO GRANDE ENERGÍA S.A.,LA MENDIETA,JUJUY,CAÑA DE AZÚCAR,800,1503.967151,803.3480733,0,0,0,0,517.08,286.27,0,0,0
8/1/2012,ALCONOA S.R.L.,EL TABACAL,SALTA,CAÑA DE AZÚCAR,4250,2127.997473,3539.001895,189,0,0,0,2215,1135,0,0,0
8/1/2012,BIO SAN ISIDRO S.A.,CAMPO SANTO,SALTA,CAÑA DE AZÚCAR,500,593.7207833,464.548326,0,0,0,0,0,464.55,0,0,0
8/1/2012,BIOENERGÍA LA CORONA S.A.,CONCEPCIÓN,TUCUMÁN,CAÑA DE AZÚCAR,670,1536.171826,652.7858497,0,0,0,0,0,652.78,0,0,0
8/1/2012,BIOENERGÍA SANTA ROSA S.A.,LEÓN ROUGES,TUCUMÁN,CAÑA DE AZÚCAR,1000,2723.411244,1033.973468,485.81,548.17,0,0,0,0,0,0,0
8/1/2012,BIOLEDESMA S.A.,LEDESMA,JUJUY,CAÑA DE AZÚCAR,4083,5646.860392,4328,622.18,0,0,0,692.26,2473.31,63.61,476.84,0
8/1/2012,BIOTRINIDAD S.A.,VILLA LA TRINIDAD,TUCUMÁN,CAÑA DE AZÚCAR,1517,4614.908402,1582,0,0,0,0,0,1582.45,0,0,0
8/1/2012,COMPAÑÍA BIONERGÉTICA LA FLORIDA S.A.,LA FLORIDA,TUCUMÁN,CAÑA DE AZÚCAR,5000,3806.822489,4165.90019,0,397.55,0,502.57,0,2899.3,0,366.48,0
8/1/2012,ENERGÍAS ECOLOGICAS DEL TUCUMÁN S.A.,AGUILARES,TUCUMÁN,CAÑA DE AZÚCAR,2090,2150.347442,2039.16614,1191.41,0,0,0,512.95,0,0,334.81,0
8/1/2012,RÍO GRANDE ENERGÍA S.A.,LA MENDIETA,JUJUY,CAÑA DE AZÚCAR,1000,1416.942514,1382.691093,0,0,0,0,516.15,866.54,0,0,0
9/1/2012,ALCONOA S.R.L.,EL TABACAL,SALTA,CAÑA DE AZÚCAR,4250,7328.995578,4201.99621,301,0,0,0,2035,1866,0,0,0
9/1/2012,BIO SAN ISIDRO S.A.,CAMPO SANTO,SALTA,CAÑA DE AZÚCAR,600,805.609602,686.1781428,0,0,0,0,0,686.18,0,0,0
9/1/2012,BIOENERGÍA LA CORONA S.A.,CONCEPCIÓN,TUCUMÁN,CAÑA DE AZÚCAR,670,1354.504106,654.7567909,0,0,0,0,0,654.76,0,0,0
9/1/2012,BIOENERGÍA SANTA ROSA S.A.,LEÓN ROUGES,TUCUMÁN,CAÑA DE AZÚCAR,1000,2676.879343,1082.375237,492.1,590.27,0,0,0,0,0,0,0
9/1/2012,BIOETANOL RÍO CUARTO S.A.,RÍO CUARTO,CÓRDOBA,MAÍZ,0,3372.987997,1936.740366,0,0,0,0,699.05,1237.69,0,0,0
9/1/2012,BIOLEDESMA S.A.,LEDESMA,JUJUY,CAÑA DE AZÚCAR,4083,3452.646873,3709.2988,544.28,0,0,0,690.16,2113.95,65.9,295.01,0
9/1/2012,BIOTRINIDAD S.A.,VILLA LA TRINIDAD,TUCUMÁN,CAÑA DE AZÚCAR,1517,4284.080859,1522.65319,0,0,0,0,0,1522.66,0,0,0
9/1/2012,COMPAÑÍA BIONERGÉTICA LA FLORIDA S.A.,LA FLORIDA,TUCUMÁN,CAÑA DE AZÚCAR,4000,3949.791535,3841.010739,0,443.5,0,537.59,0,2638.57,0,221.35,0
9/1/2012,ENERGÍAS ECOLOGICAS DEL TUCUMÁN S.A.,AGUILARES,TUCUMÁN,CAÑA DE AZÚCAR,2090,2266.582438,2109.917877,1339.23,0,0,0,511.69,0,0,259,0
9/1/2012,RÍO GRANDE ENERGÍA S.A.,LA MENDIETA,JUJUY,CAÑA DE AZÚCAR,1000,2613.644978,986.4434618,0,0,0,0,512.44,474,0,0,0
10/1/2012,ALCONOA S.R.L.,EL TABACAL,SALTA,CAÑA DE AZÚCAR,4250,7741.99621,4297.005685,301,0,0,0,2111,1885,0,0,0
10/1/2012,BIO SAN ISIDRO S.A.,CAMPO SANTO,SALTA,CAÑA DE AZÚCAR,600,961.5919141,599.469362,0,0,0,0,0,599.47,0,0,0
10/1/2012,BIOENERGÍA LA CORONA S.A.,CONCEPCIÓN,TUCUMÁN,CAÑA DE AZÚCAR,670,1843.626027,694.8831333,0,0,0,0,0,694.88,0,0,0
10/1/2012,BIOENERGÍA SANTA ROSA S.A.,LEÓN ROUGES,TUCUMÁN,CAÑA DE AZÚCAR,1200,2722.501579,1292.937461,522.25,770.69,0,0,0,0,0,0,0
