ID Sitio,Traza,Sub-Traza,Localidad,Departamento,Provincia,Poblacion Censo 2010,Lat_sitio,Lon_sitio,Fecha Real de Conexión,Estado
3234,BAHIA BLANCA - SAN ANTONIO OESTE,BAHIA BLANCA - CARMEN de PATAGONES 10G,Teniente Origone,Villarino,Buenos Aires,145,-39.0613444444,-62.5710138889,20/10/16,Conectado
284,ARROYITO - NEUQUEN,NEUQUEN - ZAPALA 1G,Arroyito,Confluencia,Neuquen,90,-39.0719194,-68.5672527,16/11/17,Conectado
1144,PIEDRA del AGUILA - ARROYITO,NEUQUEN - PIEDRA DEL AGUILA,El Chocon,Confluencia,Neuquen,426,-39.2608138889,-68.8238722222,20/07/18,Conectado
2243,BAHIA BLANCA - SAN ANTONIO OESTE,BAHIA BLANCA - CARMEN de PATAGONES 10G,Mayor Buratovich,Villarino,Buenos Aires,5372,-39.2615916667,-62.6165472222,11/01/17,Conectado
1567,BAHIA BLANCA - SAN ANTONIO OESTE,BAHIA BLANCA - CARMEN de PATAGONES 10G,Hilario Ascasubi,Villarino,Buenos Aires,3427,-39.3762777,-62.6465277,22/06/17,Conectado
2512,BAHIA BLANCA - SAN ANTONIO OESTE,BAHIA BLANCA - CARMEN de PATAGONES 10G,Pedro Luro,Villarino,Buenos Aires,9494,-39.5028416667,-62.6808555556,30/11/16,Conectado
2534,PIEDRA del AGUILA - ARROYITO,NEUQUEN - PIEDRA DEL AGUILA,Picun Leufu,Picun Leufu,Neuquen,3144,-39.5180305556,-69.2934583333,09/03/18,Conectado
1678,BAHIA BLANCA - SAN ANTONIO OESTE,BAHIA BLANCA - CARMEN de PATAGONES 10G,Juan A. Pradere,Patagones,Buenos Aires,521,-39.6013055,-62.6504722,31/07/17,Conectado
3595,BAHIA BLANCA - SAN ANTONIO OESTE,BAHIA BLANCA - CARMEN de PATAGONES 10G,Villalonga,Patagones,Buenos Aires,4517,-39.9112166,-62.6152777,31/07/17,Conectado
1701,ZAPALA - DINA HUAPI,ZAPALA - JUNIN DE LOS ANDES,Junin de Los Andes,Huiliches,Neuquen,12621,-39.9440777778,-71.0815972222,01/07/16,Conectado
2536,PIEDRA del AGUILA - ARROYITO,NEUQUEN - PIEDRA DEL AGUILA,Piedra del Aguila,Collón Curá,Neuquen,3669,-40.0472222222,-70.0720277778,09/03/18,Conectado
1436,SAN ANTONIO OESTE - RIO COLORADO,SAN ANTONIO OESTE - RIO COLORADO,General Conesa,Conesa,Rio Negro,5484,-40.1076666667,-64.45175,28/07/15,Conectado
2997,ZAPALA - DINA HUAPI,SAN MARTIN DE LOS ANDES - VILLA LA ANGOSTURA,San Martin de Los Andes,Lacar,Neuquen,29354,-40.1509722222,-71.322375,11/01/17,Conectado
3183,BAHIA BLANCA - SAN ANTONIO OESTE,BAHIA BLANCA - CARMEN de PATAGONES 10G,Stroeder,Patagones,Buenos Aires,1998,-40.1881583333,-62.621825,10/08/17,Conectado
2280,DINA HUAPI - SAN ANTONIO OESTE,SAN ANTONIO OESTE - BARILOCHE por MAQUINCHAO,Ministro Ramos Mexia,9 de Julio,Rio Negro,973,-40.5077,-67.2614111111,08/10/15,Conectado
3154,DINA HUAPI - SAN ANTONIO OESTE,SAN ANTONIO OESTE - BARILOCHE por MAQUINCHAO,Sierra Colorada,9 de Julio,Rio Negro,1542,-40.5870833333,-67.7560444444,02/11/17,Conectado
666,BAHIA BLANCA - SAN ANTONIO OESTE,BAHIA BLANCA - CARMEN de PATAGONES 10G,Cardenal Cagliero,Patagones,Buenos Aires,89,-40.6508055,-62.7541111,31/08/17,Conectado
3326,DINA HUAPI - SAN ANTONIO OESTE,SAN ANTONIO OESTE - BARILOCHE por MAQUINCHAO,Valcheta,Valcheta,Rio Negro,3867,-40.6838527778,-66.1616805556,06/10/15,Conectado
