"oficina","fecha_apertura","provincia","localidad","domicilio","telefono","responsable","tipo_locacion","provincia_indec_id"
"CAJ - LA PLATA - ENSENADA","oct-15","Buenos Aires","La Plata, Ensenada","Presidente Perón 584","(0221) 460-1167","SOSA, Paula Noelia","Local","06"
"CAJ - LA PLATA - VILLA ELVIRA","01/01/2012","Buenos Aires","La Plata","Calle 609 y 122, Bº Villa Elvira","(0221) 445-3410","GONZALEZ, Javier Martín","espacio en ONG","06"
"CAJ - LA PAMPA","01/12/2012","La Pampa","Santa Rosa","Pellegrini 132","5300-4000 Interno 76129","Vanesa Ranocchia","Oficina","42"
"CAJ - LANÚS - EL MORRO","abr-14","Buenos Aires","Lanús","Arias 2836, entre Pedernera y San Lorenzo (Lanús Este)","(011) 4220-0979","CABILLA, Ignacio Javier","espacio en ONG","06"
"CAJ - LANÚS - VILLA JARDÍN","sep-13","Buenos Aires","Lanús","Warnes 4095","(011) 2047-3392","BORGET, Martín","Local","06"
"CAJ - LINIERS","1991","CABA","Liniers","Cuzco 220","(011) 4644-2697","Monica Oviedo","Oficina en Parroquia","02"
"CAJ - LOMAS DE ZAMORA","30/03/2017","Buenos Aires","Lomas de Zamora","Laprida 732","4243-8212","Erica Ruth Cowes","Local","06"
"CAJ - MALVINAS ARGENTINAS","22/07/2013","Buenos Aires","Malvinas Argentinas","Batalla de Maipú 2931","(02320) 330-563","Temporalmente sin Coordinador designado. Depende de la Dirección Nacional","Local","06"
"CAJ - MAR DEL PLATA","09/09/2016","Buenos Aires","Mar del Plata","Santa Cruz 3571, PB","(0223) 4750004 int 115","Esteban Miguel Juarez","CDR","06"
"CAJ - LA RIOJA","sep-14","La Rioja","La Rioja","Perón 451","(0380) 4439175","OVELAR, VALERIA ELIZABETH","Casa","46"
"CAJ - MENDOZA","30/06/2012","Mendoza","Ciudad de Mendoza","Alem 30 (Mendoza Centro)","(0261) 420-2187","De Pasquale Bruno","Casa","50"
"CAJ - MERCEDES","07/09/2011","Buenos Aires","Mercedes","Calle 16 Nº 3080 (y 101 bis). Sociedad de Fomento Barrio Obrero","(02324) 422-763","Temporalmente sin Coordinador designado. Depende de la Dirección Nacional","Espacio en Sociedad de Fomento","06"
"CAJ - MENDOZA - SAN RAFAEL","mar-15","Mendoza","San Rafael","Comodoro Py N°220.","(260) 4421530","Franco Ambrosini","Local","50"
"CAJ - MONSERRAT","1995","CABA","Monserrat","Av. Belgrano 1177","(011) 4382-3249","Goergina Sabadini","Oficina PB","02"
