yacimiento,provincia,mineraliza,geojson,geom
EL DIAGUITA,LA RIOJA,COBRE,"{""type"":""Point"",""coordinates"":[-66.8175333000552,-28.9726544450373]}",0101000020E61000002FC8307752B450C088BEB7E1FFF83CC0
SN JUAN; STA ROSA,LA RIOJA,COBRE,"{""type"":""Point"",""coordinates"":[-67.6427309367509,-29.0146120240542]}",0101000020E61000003D5EF08022E950C0F870159DBD033DC0
HELIOS,LA RIOJA,PLOMO PLATA ZINC,"{""type"":""Point"",""coordinates"":[-68.4427937929881,-29.005534118598]}",0101000020E61000005BF0C6BB561C51C0F4631AAF6A013DC0
D. LA MEJICANA(N DE FAMATINA),LA RIOJA,COBRE,"{""type"":""Point"",""coordinates"":[-67.8057188905621,-29.0880694808278]}",0101000020E6100000F12EF7E590F350C05EEEB3B88B163DC0
SN FRANCISCO; SN JOSE,LA RIOJA,PLOMO PLATA ZINC,"{""type"":""Point"",""coordinates"":[-68.7954847424267,-29.058189451993]}",0101000020E6100000234CD638E93251C036480181E50E3DC0
LOS CONDORES;  CANSADO,LA RIOJA,PLOMO PLATA ZINC,"{""type"":""Point"",""coordinates"":[-68.8952187404546,-29.0919744209819]}",0101000020E610000031418B434B3951C09E2FBAA28B173DC0
D. LOS BAJOS(N DE FAMATINA),LA RIOJA,COBRE,"{""type"":""Point"",""coordinates"":[-67.8175464805428,-29.1434167481968]}",0101000020E61000000B3979AE52F450C03834C3F5B6243DC0
LA ESCONDIDA,LA RIOJA,PLOMO PLATA ZINC,"{""type"":""Point"",""coordinates"":[-67.6596655671201,-29.1620834873826]}",0101000020E61000000145EDF537EA50C0A687AD4D7E293DC0
STA MARIAII,LA RIOJA,PLOMO PLATA ZINC,"{""type"":""Point"",""coordinates"":[-68.8236214711099,-29.1179135710038]}",0101000020E6100000D4ACD436B63451C03A3773952F1E3DC0
EL ORO,LA RIOJA,ORO,"{""type"":""Point"",""coordinates"":[-67.7498510120707,-29.1902551762473]}",0101000020E6100000D66D198FFDEF50C076E02F90B4303DC0
LAS VEGAS,LA RIOJA,URANIO,"{""type"":""Point"",""coordinates"":[-67.6191303884432,-29.2032133153038]}",0101000020E6100000B39410D59FE750C06A57AFC905343DC0
EDUARDO,LA RIOJA,PLOMO PLATA ZINC,"{""type"":""Point"",""coordinates"":[-67.7056072614194,-29.2411148609507]}",0101000020E610000072E75BAB28ED50C0EE5C1AB4B93D3DC0
GRUPO MINERO EL CANTADERO,LA RIOJA,PLOMO PLATA ZINC,"{""type"":""Point"",""coordinates"":[-66.7401210007809,-29.2858915352315]}",0101000020E6100000F65B79245EAF50C0BE050A3030493DC0
ESTRELLA,LA RIOJA,URANIO,"{""type"":""Point"",""coordinates"":[-68.8930291730767,-29.2101675782959]}",0101000020E6100000432FD563273951C0D475DB8ACD353DC0
LOS CEREZOS; MODELO,LA RIOJA,COBRE,"{""type"":""Point"",""coordinates"":[-67.6531330278799,-29.3959908907166]}",0101000020E6100000A0AB78EECCE950C04C24B5A85F653DC0
LA NOVEDAD; LA PRIMERA,LA RIOJA,URANIO,"{""type"":""Point"",""coordinates"":[-67.8313735686698,-29.3896535373293]}",0101000020E6100000880C7C3935F550C096998F55C0633DC0
CURIE I-II,LA RIOJA,URANIO,"{""type"":""Point"",""coordinates"":[-67.6775404530991,-29.4279832483709]}",0101000020E6100000C7F1A1D25CEB50C01EFD664F906D3DC0
,LA RIOJA,COBRE,"{""type"":""Point"",""coordinates"":[-67.7138590669605,-29.4314245737102]}",0101000020E610000019A3F0DDAFED50C0ACC642D7716E3DC0
LA PRIMERA,SAN JUAN,PLOMO PLATA ZINC,"{""type"":""Point"",""coordinates"":[-69.5115993150937,-29.380607799317]}",0101000020E6100000EEBE0D0BBE6051C03AAB42836F613DC0
LA SEGUNDA,SAN JUAN,PLOMO PLATA ZINC,"{""type"":""Point"",""coordinates"":[-69.4699436371191,-29.3905912855908]}",0101000020E6100000F6187A8E135E51C004B75DCAFD633DC0
JOSEFA I-II; LA CANDELARIA,LA RIOJA,URANIO,"{""type"":""Point"",""coordinates"":[-67.6436129118016,-29.4749711184566]}",0101000020E610000026DE35F430E950C0C7500CB597793DC0
PITIN,LA RIOJA,URANIO,"{""type"":""Point"",""coordinates"":[-68.8756656638398,-29.4444257861565]}",0101000020E6100000001BFFE70A3851C0880A69E3C5713DC0
LAGUNITA,SAN JUAN,PLOMO PLATA ZINC,"{""type"":""Point"",""coordinates"":[-69.4247301542269,-29.4326321982648]}",0101000020E6100000E38162C72E5B51C064BED6FBC06E3DC0
LA COSTENITA,LA RIOJA,COBRE,"{""type"":""Point"",""coordinates"":[-67.6600800134464,-29.5152206632776]}",0101000020E6100000BA9F3DC03EEA50C022005B80E5833DC0
SN LORENZO; RUBEN; TIRO,LA RIOJA,URANIO,"{""type"":""Point"",""coordinates"":[-67.8208115576436,-29.514879561985]}",0101000020E61000008510332D88F450C0BC1AA025CF833DC0
ALEJANDRO; ROSITA,LA RIOJA,PLOMO PLATA ZINC,"{""type"":""Point"",""coordinates"":[-68.4374692044615,-29.5673333290392]}",0101000020E6100000D88AD57EFF1B51C08327CEC13C913DC0
BEATRIZ; LA ESPERANZA,CORDOBA,MANGANESO,"{""type"":""Point"",""coordinates"":[-64.0761557835367,-29.6922909655029]}",0101000020E61000003EEC81BCDF0450C0BE2610FB39B13DC0
FELICIDAD; NAVIDAD,LA RIOJA,URANIO,"{""type"":""Point"",""coordinates"":[-67.6674347386923,-29.6219825343356]}",0101000020E610000074B93140B7EA50C090A7533F3A9F3DC0
CARMEN LIDIA; LOS PANCHOS,CORDOBA,MANGANESO,"{""type"":""Point"",""coordinates"":[-64.1799774727548,-29.7133058057874]}",0101000020E6100000EADF3BC0840B50C06EE793359BB63DC0
CACHI; DO¥A MARIA,CORDOBA,MANGANESO,"{""type"":""Point"",""coordinates"":[-64.0235700443455,-29.7530989520643]}",0101000020E61000004468EE2B820150C0A0C4C917CBC03DC0
COMPIN I; EMMA I-II,LA RIOJA,PLOMO PLATA ZINC,"{""type"":""Point"",""coordinates"":[-68.8283794600771,-29.652481409345]}",0101000020E6100000656D482B043551C076628A0509A73DC0
MIGUEL,CORDOBA,MANGANESO,"{""type"":""Point"",""coordinates"":[-64.0932154347765,-29.7886508677416]}",0101000020E61000003CF6DE3DF70550C08AE9F405E5C93DC0
LA CUESTA,LA RIOJA,URANIO,"{""type"":""Point"",""coordinates"":[-68.8514652477418,-29.6751671628397]}",0101000020E6100000D02E18687E3651C0D2BA53C1D7AC3DC0
